id,title,price,sold_quantity,available_quantity,condition,site_id,category_id
MLA1377074661,Apple Tv Modelo A1469  Excelente Funcionamiento Liquido,32000,0,1,used,MLA,MLA352001
MLA1386077825,Apple Tv Modelo A1625 32gb,75000,0,1,used,MLA,MLA352001
MLA1369591081,Apple Tv 3ra Generación ,44999,0,1,used,MLA,MLA352001
MLA1347201286,Apple Tv,25000,0,1,used,MLA,MLA352001
MLA1122402055,Apple Tv 4ta Generación Hd (incluye Cable Hdmi),65000,0,1,used,MLA,MLA352001
MLA912468874,Apple Tv 2da Gen,40000,0,1,used,MLA,MLA352001
MLA1119480918, Apple Tv A1427  Full Hd 8gb  Permuto iPhone,50000,0,1,used,MLA,MLA352001
MLA1389970913, Apple Tv A1469. Full Hd 8gb/ 512mb De Memoria Ram,35000,0,1,used,MLA,MLA352001
MLA1450314510, Apple Tv 2.ª Generación  Negro Con 256mb De Memoria Ram,43750,0,1,used,MLA,MLA352001
MLA1222392842,Apple Tv 4ta Generación Hd,75000,0,1,used,MLA,MLA352001
MLA1388791945," Apple Tv 3.ª Generación Full Hd 8gb Negro, Perfecto Estado.",22000,0,1,used,MLA,MLA352001
MLA1136366737,Apple Tv 3ra Generación A1469 // Excelente Funcionamiento //,65000,0,1,used,MLA,MLA352001
MLA1377049235,Apple Tv 1era Generación ,55000,0,1,used,MLA,MLA352001
MLA1464602838,2 Apple Tv 3 Gen + 1 Control,20000,0,1,used,MLA,MLA352001
MLA1432293114,Amazon Fire Tv Stick 4k - Negro - 8 Gb - 1.5 Gb - Control De Voz,38999.22,250,150,new,MLA,MLA352001
MLA1373097937,Amazon Fire Tv Stick Lite Edición 2022 Control De Voz 2.ª Generación Full Hd 8gb Negro,39999,25,1,new,MLA,MLA352001
MLA1495957246,Amazon Fire Tv Stick 4k De Voz 3.ª Generación 4k 8gb Negro Con 1.5gb De Memoria Ram,41500,25,1,new,MLA,MLA352001
MLA1412876274,Amazon Fire Tv Stick Control De Voz 3.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,41999,50,1,new,MLA,MLA352001
MLA1174728315,Amazon Fire Tv Stick Lite De Voz 2.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,38269,250,100,new,MLA,MLA352001
MLA1389468143,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,41302.79,3,1,new,MLA,MLA352001
MLA1341130911,Amazon Fire Tv Stick Edición 2021 Control De Voz Full Hd 8gb Negro,40999,25,1,new,MLA,MLA352001
